District	Latitude	Longitude	mdr1-NFD1ANY	mdr1-NFD1PUR	sulfa-SUP1ANY	sulfa-SUP1PUR
Biharamulo	-2.81081	31.6887	0.25 (5/20)	0 (0/20)	0 (0/20)	0 (0/20)
Bukoba DC	-1.425575	31.5601957	0.4857 (17/35)	0.1714 (6/35)	0.0286 (1/35)	0.0286 (1/35)
Karagwe	-1.7191994	31.024272	0.3729 (44/118)	0.2458 (29/118)	0.1277 (12/94)	0.0745 (7/94)
Kyerwa	-1.3694933	30.8244814	0.4949 (49/99)	0.3838 (38/99)	0.2118 (18/85)	0.1059 (9/85)
Misenyi	-1.25452	31.4204	0.32 (8/25)	0.16 (4/25)	0.04 (1/25)	0.04 (1/25)
Muleba	-1.8001842	31.5414111	0.5436 (81/149)	0.2953 (44/149)	0 (0/141)	0 (0/141)
Ngara	-2.4965976	30.6161532	0.4419 (57/129)	0.2326 (30/129)	0.0088 (1/113)	0.0088 (1/113)
overall			0.4539 (261/575)	0.2626 (151/575)	0.0643 (33/513)	0.037 (19/513)
