District	Latitude	Longitude	mdr1-NFD1ANY	mdr1-NFD1PUR	sulfa-SUP1ANY	sulfa-SUP1PUR
Biharamulo	-2.81081	31.6887	0.2857 (16/56)	0.25 (14/56)	0 (0/57)	0 (0/57)
Bukoba DC	-1.49015	31.4988	0.5286 (74/140)	0.35 (49/140)	0.0207 (3/145)	0.0069 (1/145)
Karagwe	-1.7191994	31.024272	0.2656 (17/64)	0.1875 (12/64)	0.0455 (3/66)	0.0152 (1/66)
Kyerwa	-1.3132834	30.7914442	0.5263 (70/133)	0.3985 (53/133)	0.0781 (10/128)	0.0547 (7/128)
Misenyi	-1.25452	31.4204	0.5591 (52/93)	0.2473 (23/93)	0.0211 (2/95)	0.0105 (1/95)
Muleba	-1.796474	31.5308204	0.4783 (88/184)	0.3533 (65/184)	0.0054 (1/186)	0 (0/186)
Ngara	-2.4955492	30.6350051	0.5288 (110/208)	0.3269 (68/208)	0.0374 (8/214)	0.0047 (1/214)
overall			0.4863 (427/878)	0.3235 (284/878)	0.0303 (27/891)	0.0123 (11/891)
