sample_name	sample_set	replicate	probe_set	library_prep
KGNG-NTG-055	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-052	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-051	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-048	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-046	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-043	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-041	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-037	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-036	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-034	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-033	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-032	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-030	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-029	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-028	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-027	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-026	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-025	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-024	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-023	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-022	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-021	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-020	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-017	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-016	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-015	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-014	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-013	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-012	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-010	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-009	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-008	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-007	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-006	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-005	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-004	2021-MSMT	1	DR23K	placeholder
KGNG-NTG-003	2021-MSMT	1	DR23K	placeholder
KGNG-CVU-264	2021-MSMT	1	DR23K	placeholder
KGNG-CVU-263	2021-MSMT	1	DR23K	placeholder
KGNG-CVU-262	2021-MSMT	1	DR23K	placeholder
KGNG-CVU-261	2021-MSMT	1	DR23K	placeholder
KGNG-CVU-259	2021-MSMT	1	DR23K	placeholder
KGNG-CVU-258	2021-MSMT	1	DR23K	placeholder
KGNG-CVU-257	2021-MSMT	1	DR23K	placeholder
KGNG-CVU-256	2021-MSMT	1	DR23K	placeholder
KGNG-CVU-254	2021-MSMT	1	DR23K	placeholder
KGNG-CVU-250	2021-MSMT	1	DR23K	placeholder
KGNG-CVU-248	2021-MSMT	1	DR23K	placeholder
KGNG-CVU-247	2021-MSMT	1	DR23K	placeholder
KGNG-CVU-246	2021-MSMT	1	DR23K	placeholder
KGNG-CVU-245	2021-MSMT	1	DR23K	placeholder
KGNG-CVU-244	2021-MSMT	1	DR23K	placeholder
KGNG-CVU-243	2021-MSMT	1	DR23K	placeholder
KGNG-CVU-241	2021-MSMT	1	DR23K	placeholder
KGNG-CVU-240	2021-MSMT	1	DR23K	placeholder
KGNG-CVU-238	2021-MSMT	1	DR23K	placeholder
